PID,Trial,Condition,Measure,Response
38,4,Mismatched Hand,Agency,1.0
38,5,Matched Hand,Agency,2.0
38,6,Alien Hand,Agency,2.0
38,7,Mismatched Hand,Agency,2.0
38,8,Matched Hand,Agency,2.0
38,9,Alien Hand,Agency,2.0
39,1,Matched Hand,Agency,1.0
39,2,Mismatched Hand,Agency,2.0
39,3,Alien Hand,Agency,-3.0
39,4,Matched Hand,Agency,-3.0
39,5,Mismatched Hand,Agency,2.0
39,6,Alien Hand,Agency,-3.0
39,7,Matched Hand,Agency,-3.0
39,8,Mismatched Hand,Agency,2.0
39,9,Alien Hand,Agency,-3.0
40,1,Alien Hand,Agency,2.0
40,2,Mismatched Hand,Agency,2.0
40,3,Matched Hand,Agency,1.0
40,4,Alien Hand,Agency,2.0
40,5,Mismatched Hand,Agency,2.0
40,6,Matched Hand,Agency,3.0
40,7,Alien Hand,Agency,-1.0
40,8,Mismatched Hand,Agency,-1.0
40,9,Matched Hand,Agency,3.0
41,1,Mismatched Hand,Agency,2.0
41,2,Matched Hand,Agency,2.0
41,3,Alien Hand,Agency,2.0
41,4,Mismatched Hand,Agency,1.0
41,5,Matched Hand,Agency,3.0
41,6,Alien Hand,Agency,2.0
41,7,Mismatched Hand,Agency,1.0
41,8,Matched Hand,Agency,2.0
41,9,Alien Hand,Agency,1.0
42,1,Alien Hand,Agency,1.0
42,2,Matched Hand,Agency,1.0
42,3,Mismatched Hand,Agency,0.0
42,4,Alien Hand,Agency,1.0
42,5,Matched Hand,Agency,1.0
42,6,Mismatched Hand,Agency,1.0
42,7,Alien Hand,Agency,-3.0
42,8,Matched Hand,Agency,2.0
42,9,Mismatched Hand,Agency,1.0
43,1,Matched Hand,Agency,3.0
43,2,Alien Hand,Agency,0.0
43,3,Mismatched Hand,Agency,1.0
43,4,Matched Hand,Agency,0.0
43,5,Alien Hand,Agency,1.0
43,6,Mismatched Hand,Agency,1.0
43,7,Matched Hand,Agency,2.0
43,8,Alien Hand,Agency,1.0
43,9,Mismatched Hand,Agency,1.0
44,1,Mismatched Hand,Agency,-1.0
44,2,Matched Hand,Agency,1.0
44,3,Alien Hand,Agency,1.0
44,4,Mismatched Hand,Agency,2.0
44,5,Matched Hand,Agency,1.0
44,6,Alien Hand,Agency,-3.0
44,7,Mismatched Hand,Agency,-1.0
44,8,Matched Hand,Agency,3.0
44,9,Alien Hand,Agency,1.0
45,1,Matched Hand,Agency,3.0
45,2,Mismatched Hand,Agency,3.0
45,3,Alien Hand,Agency,1.0
45,4,Matched Hand,Agency,2.0
45,5,Mismatched Hand,Agency,1.0
45,6,Alien Hand,Agency,1.0
45,7,Matched Hand,Agency,2.0
45,8,Mismatched Hand,Agency,1.0
45,9,Alien Hand,Agency,1.0
46,1,Mismatched Hand,Agency,2.0
46,2,Matched Hand,Agency,1.0
46,3,Alien Hand,Agency,2.0
46,4,Mismatched Hand,Agency,3.0
46,5,Matched Hand,Agency,2.0
46,6,Alien Hand,Agency,2.0
46,7,Mismatched Hand,Agency,2.0
46,8,Matched Hand,Agency,2.0
46,9,Alien Hand,Agency,2.0
47,1,Mismatched Hand,Agency,0.0
47,2,Alien Hand,Agency,2.0
47,3,Matched Hand,Agency,2.0
47,4,Mismatched Hand,Agency,2.0
47,5,Alien Hand,Agency,2.0
47,6,Matched Hand,Agency,3.0
47,7,Mismatched Hand,Agency,2.0
47,8,Alien Hand,Agency,3.0
47,9,Matched Hand,Agency,3.0
48,1,Matched Hand,Agency,3.0
48,2,Mismatched Hand,Agency,1.0
48,3,Alien Hand,Agency,3.0
48,4,Matched Hand,Agency,2.0
48,5,Mismatched Hand,Agency,2.0
48,6,Alien Hand,Agency,2.0
48,7,Matched Hand,Agency,3.0
48,8,Mismatched Hand,Agency,2.0
48,9,Alien Hand,Agency,2.0
49,1,Matched Hand,Agency,2.0
49,2,Mismatched Hand,Agency,3.0
49,3,Alien Hand,Agency,3.0
49,4,Matched Hand,Agency,3.0
49,5,Mismatched Hand,Agency,3.0
49,6,Alien Hand,Agency,2.0
49,7,Matched Hand,Agency,2.0
49,8,Mismatched Hand,Agency,2.0
49,9,Alien Hand,Agency,1.0
50,1,Alien Hand,Agency,3.0
50,2,Matched Hand,Agency,3.0
50,3,Mismatched Hand,Agency,2.0
50,4,Alien Hand,Agency,2.0
